,Bans per county,Abbr,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
27,16.0,NE,1982467.0,0.4994736356267216,0.5005263643732784,0.8804635840092168,0.0622986410366477,0.0220735074026452,0.0329377487746328,0.0022265187768573,0.8852505489372585,0.1147494510627415,0.1685233600357534,0.0840639465877616,0.098912113038956,0.1320672677023123,0.1246658834674171,0.1102162104085465,0.123196502135975,0.0907177773955379,0.0676369392277399,1.04,1.25,1934408.0,40.808075,-96.699654,537.632185143982,646.1925302211323,0.0248890091926392,0.0457793613138278
28,4.0,NH,1385406.0,0.4957608094666834,0.5042391905333166,0.9306340524005238,0.0243401573257225,0.0090471674007475,0.0348273358134727,0.0011512870595334,0.9584432289162887,0.0415567710837112,0.1214228897521737,0.070591581096083,0.0919968586825811,0.1271591143679181,0.1146746874201497,0.1337947143292291,0.1559860430805121,0.11091044791202,0.0734636633593329,0.994,1.25,1359711.0,43.206898,-71.537994,731.0376984520975,919.3130010715512,0.023788149170657,0.0457793613138278
29,23.0,NJ,9103833.0,0.488731614474914,0.511268385525086,0.7209408388752299,0.1600853179095003,0.0112525130898161,0.1055103932596303,0.0022109368658234,0.7881040875859652,0.2118959124140348,0.1462500465463283,0.077221100167369,0.0856856666856696,0.1297043783645855,0.1275381479427401,0.1339646718036238,0.1360782870248169,0.0924072311080398,0.0711504703568266,6.244,3.444,8882190.0,40.220596,-74.769913,702.9797831390682,387.7422122246878,0.1494297821142684,0.1261312962918585
30,27.0,NM,2155807.0,0.4949691693180326,0.5050308306819673,0.8193831822607497,0.0335062461528327,0.1196108928118333,0.0244599818072768,0.0030396969673073,0.5096031323768779,0.4903968676231221,0.1509944999714724,0.0806222449412215,0.094387391821253,0.135719941534655,0.1209978444267042,0.1113211896983357,0.1286692176062142,0.1054825408768039,0.0718051291233398,1.751,1.25,2096829.0,35.68224,-105.939728,835.0704802346781,596.1382640167606,0.0419044760541454,0.0457793613138278
31,10.0,NV,3239670.0,0.5011180151064769,0.4988819848935231,0.7405868498952054,0.1139838316865606,0.0265314059765346,0.1041988844542808,0.0146990279874184,0.7101621461445147,0.2898378538554853,0.1568508520929601,0.0786898048258001,0.0830519775162285,0.1475495961008374,0.1320591294792371,0.1252686230387663,0.1209712717653341,0.095309398796791,0.0602493463840452,2.738,1.25,3080156.0,39.163914,-119.766121,888.9160159420497,405.8236011422798,0.0655251030475443,0.0457793613138278
32,40.0,NY,20016024.0,0.4856178729601843,0.5143821270398157,0.6980314871724774,0.1870179612094789,0.0159301367744163,0.0963783316806574,0.0026420831629698,0.8034351377676205,0.1965648622323794,0.1420391482344345,0.0704299215468566,0.091447831997004,0.1475359941614778,0.1243569152395101,0.1258681544346669,0.1317663288173515,0.0940745274885761,0.0724811780801222,12.744,7.543,19453561.0,42.652843,-73.757874,655.0985703851342,387.7439199949048,0.3049860895682634,0.2762509779121629
33,8.0,OH,11989540.0,0.4903191448545982,0.5096808551454017,0.8183303946606793,0.1421566632247776,0.0089994278345958,0.0292664272357404,0.0012470870442068,0.9583335140464104,0.0416664859535895,0.1491868745589905,0.0780256790502387,0.0920468174758998,0.1330176136865968,0.1186193965740136,0.1222160316409136,0.1350619790250501,0.0999217651386124,0.0719038428496839,5.368,4.533,11689100.0,39.961346,-82.999069,459.23124962571967,387.7971785680677,0.1284655782173915,0.1660142758684654
34,9.0,OK,4219622.0,0.4952111824234493,0.5047888175765507,0.7477119988472901,0.0889584422490924,0.1311750199425446,0.0288848148009466,0.0032697241601261,0.88984345043229,0.1101565495677101,0.1679702589473654,0.0842942803881485,0.0982545355958424,0.1372426250503007,0.1242258192795468,0.1120782856853054,0.1212129901683136,0.0897916922416273,0.0649295126435495,1.87,1.534,3956971.0,35.492207,-97.503342,472.5837010177734,387.6702659685906,0.0447523530675339,0.0561804322043295
35,40.0,OR,4401916.0,0.4957550303095288,0.5042449696904712,0.8661648700247802,0.031214134935787,0.0333607002041838,0.0611088444213837,0.0081514504138652,0.8639765047765564,0.1360234952234436,0.1406669277650913,0.0725097889191888,0.0884062758126234,0.1439593576978751,0.1339100973303443,0.1190733762298053,0.1250023853249357,0.1071781015357857,0.0692936893843499,2.648,1.635,4217737.0,44.938461,-123.030403,627.8248264412883,387.6486371720191,0.0633712464827967,0.0598794045984868
36,12.0,PA,13098517.0,0.4900963979357358,0.5099036020642642,0.8162939361761335,0.1312420329721295,0.0089378820518383,0.0419941433064521,0.0015320054934463,0.9189495268815546,0.0810504731184453,0.1387640295462456,0.0730353672862355,0.0903161021969128,0.1336436788989165,0.1175864412742297,0.1239788443226053,0.1389355756838732,0.1040297920749349,0.0797101687160462,7.291,4.964,12801989.0,40.264378,-76.883598,569.5208767950043,387.7522469360035,0.1744863134841658,0.1817989996494732
